pregunta,opcion_1,opcion_2,opcion_3,opcion_4,respuesta
¿CUÁNDO SE CELEBRA EL DÍA DE LA EDUCACIÓN ESPECIAL?,19 DE AGOSTO,9 DE AGOSTO,19 DE SEPTIEMBRE,6 DE AGOSTO,9 DE AGOSTO
NUESTRA ESCUELA SE LLAMA...,RAQUEL MANDOLINI,RAQUEL MORDINI,ESTER MANDOLINI,ESTER MORDINI,RAQUEL MANDOLINI
EL NÚMERO DE ESTA ESCUELA ES...,501,502,510,SOLOS LOS NIÑOS MENORES DE 6 AÑOS,502
¿SIEMPRE SE LLAMÓ IGUAL O RECIBIÓ OTRO NOMBRE?,"SI, SIEMPRE SE LLAMÓ IGUAL","NO, ANTERIORMENTE TENÍA OTRO NOMBRE",-,-,"NO, ANTERIORMENTE TENÍA OTRO NOMBRE"
¿QUIÉNES DE LAS SIGUIENTES PERSONAS FORMAN PARTE DE LA ESCUELA ESPECIAL?,DOCENTES,AUXILIARES,ESTUDIANTES,TODAS SON CORRECTAS,TODAS SON CORRECTAS
¿QUÉ PUEDE NECESITA UN ESTUDIANTE PARA APRENDER?,SIEMPRE LO MISMO QUE LOS DEMÁS.,DIFERENTES APOYOS O ESTRATEGIAS PARA ALCANZAR LOS APRENDIZAJES SEGÚN SUS NECESIDADES.,DEJAR DE LADO A LAS PERSONAS QUE NO APRENDEN DE IGUAL FORMA,TODAS SON CORRECTAS,DIFERENTES APOYOS O ESTRATEGIAS PARA ALCANZAR LOS APRENDIZAJES SEGÚN SUS NECESIDADES.
¿QUÉ PODEMOS HACER PARA CONSTRUIR UNA ESCUELA DONDE TODOS SE SIENTAN BIEN?,ESCUCHAR Y RESPETAR A LOS DEMÁS,AYUDAR CUANDO ALGUIEN LO NECESITA,VALORAR Y ACEPTAR LAS DIFERENCIAS,TODAS SON CORRECTAS,TODAS SON CORRECTAS
"¿LA ESCUELA DE EDUCACIÓN ESPECIAL, CUENTA CON UNA COOPERADORA ESCOLAR?",SI,NO,-,-,SI
¿CÓMO SE LLAMÓ CON ANTERIORIDAD?...,ANEXO 541,ANEXO 502,ANEXO 501,-,ANEXO 541
¿ESTA ESCUELA FUNCIONÓ SIEMPRE EN EL MISMO LUGAR?...,SI,NO,-,-,NO
